CodCategoria;Categoria;Descricao;NomeDeGrupo
EXT121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
EXT122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
EXT123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
EXT124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
EXT125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
EXT126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
EXT127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
EXT128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
EXT129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
EXT130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
EXT131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
EXT200;Apresentações Especiais;Categorias julgadas levando em conta seus formatos ou utilizações, independentemente do mercado do cliente.;Verdadeiro;
EXT201;Datas Promocionais;Trabalhos publicitários referentes a datas como Natal, Dia das Mães, Dia dos Pais, Dia dos Namorados, Dia da Criança e Páscoa;Falso;
EXT202;Datas Institucionais;Trabalhos publicitários referentes a datas como aniversários, dias santos, dias comemorativos de profissionais etc.Diferenciam-se das Peças de Oportunidade porque podem ter sido criadas com antecedência.;Falso;
EXT203;Aproveitamento de Patrocínio;Trabalhos publicitários que aproveitem o fato de a empresa anunciante também estar patrocinando um evento ou ação de qualquer natureza..;Falso;
FIL000;Filme;Comerciais, vinhetas etc produzidos para exibição em TV, Cinema e Internet.;Verdadeiro;
FIL100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
FIL101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
FIL102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
FIL103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
FIL104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
FIL105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
FIL106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
FIL107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
FIL108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
FIL109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
FIL110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
FIL111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
FIL112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
FIL113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
FIL114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
FIL115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
FIL116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
FIL117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
FIL118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
FIL119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
FIL120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
FIL121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
FIL122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
FIL123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
FIL124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
FIL125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
FIL126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
FIL127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
FIL128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
FIL129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
FIL130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
FIL131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
FIL200;Apresentações Especiais;Categorias julgadas levando em conta seus formatos ou utilizações, independentemente do mercado do cliente.;Verdadeiro;
FIL201;Baixo Custo de Produção;Trabalhos produzidos para televisão e/ou cinema em que a ideia prevaleça sobre a produção ou em que a realização tenha claramente solucionado restrições orçamentárias.;Falso;
FIL202;Oportunidade;Trabalhos que denotem claramente terem sido criados aproveitando uma oportunidade inesperada (uma notícia, um acontecimento imprevisto etc.). Aqui também são válidos apenas trabalhos veiculados.;Falso;
FIL203;Datas Promocionais;Trabalhos publicitários referentes a datas como Natal, Dia das Mães, Dia dos Pais, Dia dos Namorados, Dia da Criança e Páscoa;Falso;
FIL204;Datas Institucionais;Trabalhos publicitários referentes a datas como aniversários, dias santos, dias comemorativos de profissionais etc.Diferenciam-se das Peças de Oportunidade porque podem ter sido criadas com antecedência.;Falso;
FIL205;Aproveitamento de Patrocínio;Trabalhos publicitários que aproveitem o fato de a empresa anunciante também estar patrocinando um evento ou ação de qualquer natureza..;Falso;
FIL206;Apoio a Promoção de Produto;Peça eletrônica veiculada em TV para apoiar case ou ação promocional de produto, como sorteio, trocas, coleções e similares. Não se aplica a mera promoção de preços ou descontos.;Falso;
FIL207;Apoio a Promoção de Serviço;Peça eletrônica veiculada em TV para apoiar case ou ação promocional de serviço, como sorteio, trocas, coleções e similares. Não se aplica a mera promoção de preços ou descontos..;Falso;
IMP000;Mídia Impressa;Anúncios, encartes e outros materiais gráficos veiculados em jornais e revistas.;Verdadeiro;
IMP100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
IMP101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
IMP102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
IMP103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
IMP104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
IMP105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
IMP106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
IMP107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
IMP108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
IMP109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
IMP110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
IMP111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
IMP112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
IMP113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
IMP114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
IMP115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
IMP116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
IMP117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
IMP118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
IMP119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
IMP120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
IMP121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
IMP122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
IMP123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
IMP124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
IMP125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
IMP126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
IMP127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
IMP128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
IMP129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
IMP130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
IMP131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
IMP200;Apresentações Especiais;Categorias julgadas levando em conta seus formatos ou utilizações, independentemente do mercado do cliente.;Verdadeiro;
IMP201;Anúncio De Até 45 Cm/Col Ou 1/2 Página De Revista;Categoria específica para pequenos anúncios, não importando o mercado do anunciante. No caso de anúncio de jornal, ele teria, por exemplo, até 3 colunas por 15 cm de altura ou qualquer outra combinação que gere até 45 cm/col.;Falso;
IMP202;Trade;Trabalhos destinados ao público intermediário do anunciante, não importando o mercado em que ele atue. Aqui também são válidos apenas trabalhos veiculados.;Falso;
IMP203;Oportunidade;Trabalhos que denotem claramente terem sido criados aproveitando uma oportunidade inesperada (uma notícia, um acontecimento imprevisto etc.). Aqui também são válidos apenas trabalhos veiculados.;Falso;
IMP204;Datas Promocionais;Trabalhos publicitários referentes a datas como Natal, Dia das Mães, Dia dos Pais, Dia dos Namorados, Dia da Criança e Páscoa;Falso;
IMP205;Datas Institucionais;Trabalhos publicitários referentes a datas como aniversários, dias santos, dias comemorativos de profissionais etc.Diferenciam-se das Peças de Oportunidade porque podem ter sido criadas com antecedência.;Falso;
IMP206;Aproveitamento de Patrocínio;Trabalhos publicitários que aproveitem o fato de a empresa anunciante também estar patrocinando um evento ou ação de qualquer natureza..;Falso;
INO000;Inovação;Trabalhos que revelem um ineditismo no uso das tecnologias, técnicas, pensamentos, estratégias e meios de comunicação, tendo conseguido por esta razão um impacto maior para a transmissão da mensagem comercial, social ou institucional do cliente envolvido e, eventualmente, a indicação de novos caminhos para a indústria.;Verdadeiro;
INO100;Cases;;Verdadeiro;
INO101;Case de Inovação;Não há segmentação de categorias no Colunistas Inovação.;Falso;
INT000;Mídias Integradas;Campanhas ou conjuntos de peças de objetivo comercial, social ou institucional que demonstrem a integração de um mesmo conceito ou ideia criativa entre os diversos meios utilizados.;Verdadeiro;
INT100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
INT101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
INT102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
INT103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
INT104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
INT105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
INT106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
INT107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
INT108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
INT109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
INT110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
INT111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
INT112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
INT113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
