CodCategoria;Categoria;Descricao;NomeDeGrupo
DIG202;Datas Promocionais;Trabalhos publicitários referentes a datas como Natal, Dia das Mães, Dia dos Pais, Dia dos Namorados, Dia da Criança e Páscoa;Falso;
DIG203;Datas Institucionais;Trabalhos publicitários referentes a datas como aniversários, dias santos, dias comemorativos de profissionais etc.Diferenciam-se das Peças de Oportunidade porque podem ter sido criadas com antecedência.;Falso;
DIG204;Ação de Comunicação em Rede Social;Comunicação publicitária ou institucional que atinja seu público alvo através de redes sociais como Facebook, Twitter, Google+ etc;Falso;
DIG205;Peça Interativa;Trabalhos publicitários que de alguma forma interajam com o seu público alvo.;Falso;
DIG206;Fanpage em Mídia Social;Páginas de mídia social assinadas pelo anunciante para relacionamento com seu público-alvo.;Falso;
DIG207;Jogo Online;Trabalhos que comuniquem os objetivos de marketing do cliente através de jogos com pontuação e/ou disputa entre os participantes.;Falso;
DIG300;Websites;Canais de comunicação online de empresas ou instituições para fins de mercado, institucionais, sociais, projetos temporários etc. e que estejam disponibilizados em endereço (URL) próprio.;Verdadeiro;
DIG301;Website de Produto de Consumo;Alimentos, Guloseimas, Bebidas Alcoólicas e Não-Alcoólicas, Medicamentos, Suplementos, Cosméticos, Produtos de Toalete, etc.;Falso;
DIG302;Website de Bens Duráveis;Bens de Capital e Produtos de Consumo de Uso Duradouro, como Automóveis, Mobiliário, Eletrodomésticos etc.;Falso;
DIG303;Website de Serviço;Financeiros, Telecomunicações, Médicos etc.;Falso;
DIG304;Website de Produto ou Serviço Técnico ou Profissional;Manutenção de Equipamentos, Softwares para Uso Profissional, Serviços de Entrega, etc.;Falso;
DIG305;Website de Produto ou Serviço Business-to-Business;Inclui Comércio, Indústria e Agropecuária;Falso;
DIG306;Website de Varejo;Obrigatoriamente assinada por empresa de varejo, como rede de lojas, supermercado, shopping etc.;Falso;
DIG307;Website de Produto Cultural ou de Lazer;Exposições, Filmes, Brinquedos, Eletrônicos, Mídia etc.;Falso;
DIG308;Website Social ou Comunitário;Website Social ou Comunitário;Falso;
DIG309;Website de Endomarketing e Incentivo;Que seja voltado para públicos internos ou intermediários ou estimule os usuários a participar de programa contínuo que vise ao atingimento de metas de venda, consumo ou comportamento pré-determinados.;Falso;
DIG310;Website de Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
DIR000;Marketing Direto;Peças produzidas para atingir um público previamente determinado ou que permitam um controle ou mensuração das suas respostas.;Verdadeiro;
DIR100;Campanhas ou Programas;Conjuntos de ações e peças que permitam uma análise da estratégia utilizada, da integração entre as diversas iniciativas e dos resultados obtidos.;Verdadeiro;
